,Class,Alcohol,Malicacid,Ash,Alcalinity_of_Ash,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthacyanins,Color_Intensity,Hue,0D280/0D315_of_Diluted_Wine,Proline
Class,1.0,-0.3282219408900182,0.43777620484106483,-0.04964322102407669,0.5178591098214516,-0.20917939029492894,-0.7191633405539715,-0.8474975401417584,0.4891091588606912,-0.4991298238591703,0.26566756917598944,-0.6173692102858326,-0.7882295886876629,-0.6337167849870333
Alcohol,-0.3282219408900182,1.0,0.09439694091041516,0.21154459643174484,-0.310235136891085,0.27079822591147984,0.289101122587455,0.23681492790034508,-0.15592946668732807,0.13669791176947937,0.546364195083705,-0.0717471973301557,0.07234318740052098,0.6437200371782134
Malicacid,0.43777620484106483,0.09439694091041516,1.0,0.16404546975674478,0.2885004028036238,-0.05457509608400031,-0.33516699716206544,-0.41100658761426284,0.2929771334806482,-0.22074618679284594,0.2489853440952395,-0.5612956886649447,-0.3687104282932636,-0.19201056463400906
Ash,-0.04964322102407669,0.21154459643174484,0.16404546975674478,1.0,0.44336718655231105,0.28658669125817465,0.12897953765406892,0.11507727901397194,0.18623044631692168,0.009651935152086568,0.25888725929965406,-0.07466688903277331,0.0039112306302746085,0.2236262636875717
Alcalinity_of_Ash,0.5178591098214516,-0.310235136891085,0.2885004028036238,0.44336718655231105,1.0,-0.08333308856795228,-0.3211133173240704,-0.35136986013839444,0.36192171855760435,-0.1973268357159545,0.018731980931229433,-0.2739552227004069,-0.27676854889143465,-0.44059693128216176
Magnesium,-0.20917939029492894,0.27079822591147984,-0.05457509608400031,0.28658669125817465,-0.08333308856795228,1.0,0.21440123465343133,0.19578376985743232,-0.2562940489138293,0.23644060977750714,0.19995000627543325,0.05539819560300633,0.06600393603204628,0.3933508493830868
Total_Phenols,-0.7191633405539715,0.289101122587455,-0.33516699716206544,0.12897953765406892,-0.3211133173240704,0.21440123465343133,1.0,0.8645635000951147,-0.44993530093522016,0.6124130837800363,-0.05513641774236631,0.4336813352137762,0.6999493647911861,0.49811487964209733
Flavanoids,-0.8474975401417584,0.23681492790034508,-0.41100658761426284,0.11507727901397194,-0.35136986013839444,0.19578376985743232,0.8645635000951147,1.0,-0.5378996119051984,0.6526917686075153,-0.17237939828917892,0.5434785664899897,0.787193901866951,0.49419312720437414
Nonflavanoid_Phenols,0.4891091588606912,-0.15592946668732807,0.2929771334806482,0.18623044631692168,0.36192171855760435,-0.2562940489138293,-0.44993530093522016,-0.5378996119051984,1.0,-0.3658450990079918,0.1390570128605291,-0.2626396311498339,-0.5032695960789114,-0.31138518831792067
Proanthacyanins,-0.4991298238591703,0.13669791176947937,-0.22074618679284594,0.009651935152086568,-0.1973268357159545,0.23644060977750714,0.6124130837800363,0.6526917686075153,-0.3658450990079918,1.0,-0.025249930815701583,0.2955442527835987,0.519067095682523,0.33041670040253657
Color_Intensity,0.26566756917598944,0.546364195083705,0.2489853440952395,0.25888725929965406,0.018731980931229433,0.19995000627543325,-0.05513641774236631,-0.17237939828917892,0.1390570128605291,-0.025249930815701583,1.0,-0.5218131932287572,-0.4288149418276313,0.3161001126560902
Hue,-0.6173692102858326,-0.0717471973301557,-0.5612956886649447,-0.07466688903277331,-0.2739552227004069,0.05539819560300633,0.4336813352137762,0.5434785664899897,-0.2626396311498339,0.2955442527835987,-0.5218131932287572,1.0,0.5654682931826589,0.23618344665043706
0D280/0D315_of_Diluted_Wine,-0.7882295886876629,0.07234318740052098,-0.3687104282932636,0.0039112306302746085,-0.27676854889143465,0.06600393603204628,0.6999493647911861,0.787193901866951,-0.5032695960789114,0.519067095682523,-0.4288149418276313,0.5654682931826589,1.0,0.31276107545272297
Proline,-0.6337167849870333,0.6437200371782134,-0.19201056463400906,0.2236262636875717,-0.44059693128216176,0.3933508493830868,0.49811487964209733,0.49419312720437414,-0.31138518831792067,0.33041670040253657,0.3161001126560902,0.23618344665043706,0.31276107545272297,1.0
